,Latency,CPU_USAGE,MEM_USAGE,LOAD,CONF
0,885.3,0.0964,0.0964,842,CONF_0
1,884.21,0.089,0.089,899,CONF_0
2,904.12,0.089,0.089,947,CONF_0
3,921.59,0.0952,0.0952,998,CONF_0
4,920.15,0.0952,0.0952,1054,CONF_0
5,935.74,0.0955,0.0955,1106,CONF_0
6,944.87,0.0955,0.0955,1153,CONF_0
7,956.29,0.0916,0.0916,1205,CONF_0
